,0,1,2
0,0,0.7580914563043669,0.9558772950891995
1,1,1.0,1.0
2,2,1.0,1.0
3,3,1.0,1.0
4,4,0.9722577554589149,0.9892520973339077
5,5,0.9722577554589149,0.9892520973339077
6,6,0.7524461771231442,0.9916144841493253
7,7,0.7524461771231442,0.9916144841493253
8,8,0.7580914563043669,0.9558772950891995
9,9,0.7580914563043669,0.9558772950891995
10,10,0.787515386122348,0.935272917736982
11,11,0.787515386122348,0.935272917736982
12,12,0.7492981111659346,0.9836342215266286
13,13,0.7492981111659346,0.9836342215266286
14,14,0.7477124705292467,0.9685953653787139
15,15,0.7477124705292467,0.9685953653787139
16,16,0.7580914563043669,0.9558772950891995
17,17,0.7580914563043669,0.9558772950891995
18,18,0.7778139895915582,0.9460961631553502
19,19,0.7778139895915582,0.9460961631553502
20,20,0.7862505170258867,0.9405532135115359
